op1	operation	op2	result	correct	dev	label	subject	Weight	Nested	Procedure
4	-	8	-4	1	0	4 - 8 = -4	1	1		TrialProc
4	+	7	11	1	0	4 + 7 = 11	1	1		TrialProc
5	+	8	13	1	0	5 + 8 = 13	1	1		TrialProc
2	+	3	3	0	-2	2 + 3 = 3	1	1		TrialProc
7	-	2	3	0	-2	7 - 2 = 3	1	1		TrialProc
7	-	4	2	0	-1	7 - 4 = 2	1	1		TrialProc
4	-	3	0	0	-1	4 - 3 = 0	1	1		TrialProc
6	+	3	8	0	-1	6 + 3 = 8	1	1		TrialProc
4	+	3	5	0	-2	4 + 3 = 5	1	1		TrialProc
4	-	5	-2	0	-1	4 - 5 = -2	1	1		TrialProc
3	+	4	5	0	-2	3 + 4 = 5	1	1		TrialProc
8	+	8	14	0	-2	8 + 8 = 14	1	1		TrialProc
2	+	7	9	1	0	2 + 7 = 9	1	1		TrialProc
4	-	3	0	0	-1	4 - 3 = 0	1	1		TrialProc
6	-	6	-1	0	-1	6 - 6 = -1	1	1		TrialProc
7	-	4	1	0	-2	7 - 4 = 1	1	1		TrialProc
4	-	8	-4	1	0	4 - 8 = -4	1	1		TrialProc
6	+	9	15	1	0	6 + 9 = 15	1	1		TrialProc
7	-	5	2	1	0	7 - 5 = 2	1	1		TrialProc
7	-	4	3	1	0	7 - 4 = 3	1	1		TrialProc
2	+	8	10	1	0	2 + 8 = 10	1	1		TrialProc
3	+	6	7	0	-2	3 + 6 = 7	1	1		TrialProc
2	+	8	8	0	-2	2 + 8 = 8	1	1		TrialProc
7	+	2	9	1	0	7 + 2 = 9	1	1		TrialProc
7	-	6	1	1	0	7 - 6 = 1	1	1		TrialProc
8	+	5	13	1	0	8 + 5 = 13	1	1		TrialProc
5	-	6	-1	1	0	5 - 6 = -1	1	1		TrialProc
8	-	2	5	0	-1	8 - 2 = 5	1	1		TrialProc
3	+	9	10	0	-2	3 + 9 = 10	1	1		TrialProc
5	-	8	-3	1	0	5 - 8 = -3	1	1		TrialProc
2	+	4	4	0	-2	2 + 4 = 4	1	1		TrialProc
9	-	4	5	1	0	9 - 4 = 5	1	1		TrialProc
9	-	9	0	1	0	9 - 9 = 0	1	1		TrialProc
3	+	4	5	0	-2	3 + 4 = 5	1	1		TrialProc
6	-	3	1	0	-2	6 - 3 = 1	1	1		TrialProc
6	+	2	6	0	-2	6 + 2 = 6	1	1		TrialProc
7	-	6	1	1	0	7 - 6 = 1	1	1		TrialProc
7	-	3	3	0	-1	7 - 3 = 3	1	1		TrialProc
5	-	4	-1	0	-2	5 - 4 = -1	1	1		TrialProc
6	-	8	-4	0	-2	6 - 8 = -4	1	1		TrialProc
4	-	6	-3	0	-1	4 - 6 = -3	1	1		TrialProc
9	-	4	5	1	0	9 - 4 = 5	1	1		TrialProc
7	+	8	14	0	-1	7 + 8 = 14	1	1		TrialProc
5	+	8	11	0	-2	5 + 8 = 11	1	1		TrialProc
8	-	6	0	0	-2	8 - 6 = 0	1	1		TrialProc
5	+	6	11	1	0	5 + 6 = 11	1	1		TrialProc
2	+	9	10	0	-1	2 + 9 = 10	1	1		TrialProc
8	+	5	13	1	0	8 + 5 = 13	1	1		TrialProc
4	+	3	7	1	0	4 + 3 = 7	1	1		TrialProc
4	-	2	2	1	0	4 - 2 = 2	1	1		TrialProc
9	+	2	11	1	0	9 + 2 = 11	1	1		TrialProc
2	-	8	-7	0	-1	2 - 8 = -7	1	1		TrialProc
8	-	5	3	1	0	8 - 5 = 3	1	1		TrialProc
5	+	9	14	1	0	5 + 9 = 14	1	1		TrialProc
2	+	4	6	1	0	2 + 4 = 6	1	1		TrialProc
2	+	8	10	1	0	2 + 8 = 10	1	1		TrialProc
5	+	2	5	0	-2	5 + 2 = 5	2	1		TrialProc
4	-	2	2	1	0	4 - 2 = 2	2	1		TrialProc
6	-	9	-3	1	0	6 - 9 = -3	2	1		TrialProc
4	-	7	-3	1	0	4 - 7 = -3	2	1		TrialProc
9	-	3	4	0	-2	9 - 3 = 4	2	1		TrialProc
7	+	3	10	1	0	7 + 3 = 10	2	1		TrialProc
8	+	8	15	0	-1	8 + 8 = 15	2	1		TrialProc
6	-	2	4	1	0	6 - 2 = 4	2	1		TrialProc
7	-	7	-1	0	-1	7 - 7 = -1	2	1		TrialProc
7	+	4	10	0	-1	7 + 4 = 10	2	1		TrialProc
2	-	7	-5	1	0	2 - 7 = -5	2	1		TrialProc
8	+	6	12	0	-2	8 + 6 = 12	2	1		TrialProc
7	-	2	4	0	-1	7 - 2 = 4	2	1		TrialProc
2	-	7	-7	0	-2	2 - 7 = -7	2	1		TrialProc
4	-	2	0	0	-2	4 - 2 = 0	2	1		TrialProc
3	+	8	10	0	-1	3 + 8 = 10	2	1		TrialProc
6	-	7	-1	1	0	6 - 7 = -1	2	1		TrialProc
4	-	4	-1	0	-1	4 - 4 = -1	2	1		TrialProc
2	-	4	-4	0	-2	2 - 4 = -4	2	1		TrialProc
8	+	7	13	0	-2	8 + 7 = 13	2	1		TrialProc
3	-	3	-1	0	-1	3 - 3 = -1	2	1		TrialProc
4	-	7	-5	0	-2	4 - 7 = -5	2	1		TrialProc
5	-	6	-2	0	-1	5 - 6 = -2	2	1		TrialProc
7	+	8	15	1	0	7 + 8 = 15	2	1		TrialProc
6	+	4	8	0	-2	6 + 4 = 8	2	1		TrialProc
8	+	4	12	1	0	8 + 4 = 12	2	1		TrialProc
3	-	2	0	0	-1	3 - 2 = 0	2	1		TrialProc
9	+	2	9	0	-2	9 + 2 = 9	2	1		TrialProc
3	+	7	10	1	0	3 + 7 = 10	2	1		TrialProc
3	-	7	-4	1	0	3 - 7 = -4	2	1		TrialProc
6	+	4	10	1	0	6 + 4 = 10	2	1		TrialProc
8	+	6	14	1	0	8 + 6 = 14	2	1		TrialProc
5	-	2	3	1	0	5 - 2 = 3	2	1		TrialProc
8	+	7	14	0	-1	8 + 7 = 14	2	1		TrialProc
3	-	6	-4	0	-1	3 - 6 = -4	2	1		TrialProc
2	-	3	-1	1	0	2 - 3 = -1	2	1		TrialProc
4	+	3	6	0	-1	4 + 3 = 6	2	1		TrialProc
3	+	9	11	0	-1	3 + 9 = 11	2	1		TrialProc
4	+	9	12	0	-1	4 + 9 = 12	2	1		TrialProc
7	-	6	1	1	0	7 - 6 = 1	2	1		TrialProc
2	-	5	-5	0	-2	2 - 5 = -5	2	1		TrialProc
8	-	5	3	1	0	8 - 5 = 3	2	1		TrialProc
2	+	3	5	1	0	2 + 3 = 5	2	1		TrialProc
9	-	9	0	1	0	9 - 9 = 0	2	1		TrialProc
8	+	7	15	1	0	8 + 7 = 15	2	1		TrialProc
2	+	2	2	0	-2	2 + 2 = 2	2	1		TrialProc
7	-	9	-3	0	-1	7 - 9 = -3	2	1		TrialProc
7	+	9	16	1	0	7 + 9 = 16	2	1		TrialProc
8	+	6	14	1	0	8 + 6 = 14	2	1		TrialProc
5	+	9	14	1	0	5 + 9 = 14	2	1		TrialProc
4	+	3	7	1	0	4 + 3 = 7	2	1		TrialProc
6	+	6	12	1	0	6 + 6 = 12	2	1		TrialProc
4	-	5	-2	0	-1	4 - 5 = -2	2	1		TrialProc
2	-	8	-6	1	0	2 - 8 = -6	2	1		TrialProc
9	-	5	4	1	0	9 - 5 = 4	2	1		TrialProc
2	+	6	7	0	-1	2 + 6 = 7	2	1		TrialProc
8	+	4	11	0	-1	8 + 4 = 11	2	1		TrialProc
6	-	8	-2	1	0	6 - 8 = -2	2	1		TrialProc
2	+	2	4	1	0	2 + 2 = 4	2	1		TrialProc
6	+	2	8	1	0	6 + 2 = 8	2	1		TrialProc
7	-	6	1	1	0	7 - 6 = 1	3	1		TrialProc
9	-	8	1	1	0	9 - 8 = 1	3	1		TrialProc
8	+	2	10	1	0	8 + 2 = 10	3	1		TrialProc
2	+	5	7	1	0	2 + 5 = 7	3	1		TrialProc
3	+	5	7	0	-1	3 + 5 = 7	3	1		TrialProc
9	-	3	6	1	0	9 - 3 = 6	3	1		TrialProc
3	-	2	-1	0	-2	3 - 2 = -1	3	1		TrialProc
3	-	7	-4	1	0	3 - 7 = -4	3	1		TrialProc
4	+	5	8	0	-1	4 + 5 = 8	3	1		TrialProc
7	+	3	8	0	-2	7 + 3 = 8	3	1		TrialProc
6	+	4	10	1	0	6 + 4 = 10	3	1		TrialProc
9	-	4	3	0	-2	9 - 4 = 3	3	1		TrialProc
2	-	6	-6	0	-2	2 - 6 = -6	3	1		TrialProc
5	-	6	-3	0	-2	5 - 6 = -3	3	1		TrialProc
8	+	7	14	0	-1	8 + 7 = 14	3	1		TrialProc
9	+	7	16	1	0	9 + 7 = 16	3	1		TrialProc
5	-	2	2	0	-1	5 - 2 = 2	3	1		TrialProc
4	+	9	13	1	0	4 + 9 = 13	3	1		TrialProc
4	+	2	6	1	0	4 + 2 = 6	3	1		TrialProc
4	-	8	-4	1	0	4 - 8 = -4	3	1		TrialProc
7	-	8	-2	0	-1	7 - 8 = -2	3	1		TrialProc
9	+	6	15	1	0	9 + 6 = 15	3	1		TrialProc
8	-	6	1	0	-1	8 - 6 = 1	3	1		TrialProc
4	-	5	-2	0	-1	4 - 5 = -2	3	1		TrialProc
6	-	2	4	1	0	6 - 2 = 4	3	1		TrialProc
7	-	2	5	1	0	7 - 2 = 5	3	1		TrialProc
7	+	7	12	0	-2	7 + 7 = 12	3	1		TrialProc
4	+	4	8	1	0	4 + 4 = 8	3	1		TrialProc
4	+	9	13	1	0	4 + 9 = 13	3	1		TrialProc
9	-	6	3	1	0	9 - 6 = 3	3	1		TrialProc
4	+	6	9	0	-1	4 + 6 = 9	3	1		TrialProc
4	+	9	13	1	0	4 + 9 = 13	3	1		TrialProc
7	-	9	-2	1	0	7 - 9 = -2	3	1		TrialProc
6	+	8	12	0	-2	6 + 8 = 12	3	1		TrialProc
2	+	3	3	0	-2	2 + 3 = 3	3	1		TrialProc
9	-	9	0	1	0	9 - 9 = 0	3	1		TrialProc
3	+	2	5	1	0	3 + 2 = 5	3	1		TrialProc
5	+	9	14	1	0	5 + 9 = 14	3	1		TrialProc
9	+	4	13	1	0	9 + 4 = 13	3	1		TrialProc
2	-	7	-5	1	0	2 - 7 = -5	3	1		TrialProc
3	-	4	-1	1	0	3 - 4 = -1	3	1		TrialProc
2	+	9	11	1	0	2 + 9 = 11	3	1		TrialProc
7	+	9	14	0	-2	7 + 9 = 14	3	1		TrialProc
8	-	5	2	0	-1	8 - 5 = 2	3	1		TrialProc
7	+	8	13	0	-2	7 + 8 = 13	3	1		TrialProc
4	-	9	-6	0	-1	4 - 9 = -6	3	1		TrialProc
5	+	6	10	0	-1	5 + 6 = 10	3	1		TrialProc
7	-	4	3	1	0	7 - 4 = 3	3	1		TrialProc
4	-	8	-6	0	-2	4 - 8 = -6	3	1		TrialProc
2	+	5	6	0	-1	2 + 5 = 6	3	1		TrialProc
6	-	3	1	0	-2	6 - 3 = 1	3	1		TrialProc
4	-	8	-5	0	-1	4 - 8 = -5	3	1		TrialProc
8	+	2	8	0	-2	8 + 2 = 8	3	1		TrialProc
5	+	2	6	0	-1	5 + 2 = 6	3	1		TrialProc
9	+	7	16	1	0	9 + 7 = 16	3	1		TrialProc
8	-	7	1	1	0	8 - 7 = 1	3	1		TrialProc
7	-	9	-4	0	-2	7 - 9 = -4	3	1		TrialProc
2	-	8	-6	1	0	2 - 8 = -6	3	1		TrialProc
7	-	7	-2	0	-2	7 - 7 = -2	3	1		TrialProc
8	+	5	11	0	-2	8 + 5 = 11	3	1		TrialProc
6	-	7	-2	0	-1	6 - 7 = -2	4	1		TrialProc
7	+	3	9	0	-1	7 + 3 = 9	4	1		TrialProc
5	+	7	11	0	-1	5 + 7 = 11	4	1		TrialProc
2	+	4	6	1	0	2 + 4 = 6	4	1		TrialProc
7	-	2	5	1	0	7 - 2 = 5	4	1		TrialProc
3	+	4	6	0	-1	3 + 4 = 6	4	1		TrialProc
8	+	8	16	1	0	8 + 8 = 16	4	1		TrialProc
2	-	5	-4	0	-1	2 - 5 = -4	4	1		TrialProc
2	-	4	-3	0	-1	2 - 4 = -3	4	1		TrialProc
9	-	8	-1	0	-2	9 - 8 = -1	4	1		TrialProc
7	-	5	2	1	0	7 - 5 = 2	4	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	4	1		TrialProc
9	+	3	11	0	-1	9 + 3 = 11	4	1		TrialProc
6	-	5	-1	0	-2	6 - 5 = -1	4	1		TrialProc
9	+	4	13	1	0	9 + 4 = 13	4	1		TrialProc
8	-	7	1	1	0	8 - 7 = 1	4	1		TrialProc
3	+	3	5	0	-1	3 + 3 = 5	4	1		TrialProc
5	-	3	0	0	-2	5 - 3 = 0	4	1		TrialProc
3	+	2	5	1	0	3 + 2 = 5	4	1		TrialProc
3	-	3	0	1	0	3 - 3 = 0	4	1		TrialProc
2	+	5	7	1	0	2 + 5 = 7	4	1		TrialProc
4	-	7	-3	1	0	4 - 7 = -3	4	1		TrialProc
9	+	4	13	1	0	9 + 4 = 13	4	1		TrialProc
4	+	9	12	0	-1	4 + 9 = 12	4	1		TrialProc
5	+	7	10	0	-2	5 + 7 = 10	4	1		TrialProc
7	-	6	-1	0	-2	7 - 6 = -1	4	1		TrialProc
8	+	7	13	0	-2	8 + 7 = 13	4	1		TrialProc
7	-	8	-1	1	0	7 - 8 = -1	4	1		TrialProc
2	-	6	-4	1	0	2 - 6 = -4	4	1		TrialProc
9	+	7	16	1	0	9 + 7 = 16	4	1		TrialProc
3	-	7	-5	0	-1	3 - 7 = -5	4	1		TrialProc
6	-	6	0	1	0	6 - 6 = 0	4	1		TrialProc
5	+	9	14	1	0	5 + 9 = 14	4	1		TrialProc
9	-	9	0	1	0	9 - 9 = 0	4	1		TrialProc
4	-	8	-5	0	-1	4 - 8 = -5	4	1		TrialProc
3	-	2	-1	0	-2	3 - 2 = -1	4	1		TrialProc
7	+	6	13	1	0	7 + 6 = 13	4	1		TrialProc
3	+	9	12	1	0	3 + 9 = 12	4	1		TrialProc
3	-	8	-5	1	0	3 - 8 = -5	4	1		TrialProc
2	-	9	-9	0	-2	2 - 9 = -9	4	1		TrialProc
6	+	2	8	1	0	6 + 2 = 8	4	1		TrialProc
3	+	5	6	0	-2	3 + 5 = 6	4	1		TrialProc
3	-	6	-4	0	-1	3 - 6 = -4	4	1		TrialProc
9	-	6	3	1	0	9 - 6 = 3	4	1		TrialProc
4	-	9	-6	0	-1	4 - 9 = -6	4	1		TrialProc
3	+	5	6	0	-2	3 + 5 = 6	4	1		TrialProc
8	-	4	4	1	0	8 - 4 = 4	4	1		TrialProc
4	+	4	8	1	0	4 + 4 = 8	4	1		TrialProc
3	+	4	6	0	-1	3 + 4 = 6	4	1		TrialProc
7	+	2	8	0	-1	7 + 2 = 8	4	1		TrialProc
3	+	4	5	0	-2	3 + 4 = 5	4	1		TrialProc
3	+	2	5	1	0	3 + 2 = 5	4	1		TrialProc
8	-	4	4	1	0	8 - 4 = 4	4	1		TrialProc
3	+	7	10	1	0	3 + 7 = 10	4	1		TrialProc
2	+	6	7	0	-1	2 + 6 = 7	4	1		TrialProc
9	-	3	4	0	-2	9 - 3 = 4	4	1		TrialProc
4	+	3	6	0	-1	4 + 3 = 6	4	1		TrialProc
9	-	3	6	1	0	9 - 3 = 6	4	1		TrialProc
6	-	3	1	0	-2	6 - 3 = 1	4	1		TrialProc
4	+	9	13	1	0	4 + 9 = 13	4	1		TrialProc
3	-	4	-1	1	0	3 - 4 = -1	5	1		TrialProc
8	+	7	13	0	-2	8 + 7 = 13	5	1		TrialProc
7	+	8	14	0	-1	7 + 8 = 14	5	1		TrialProc
8	-	3	5	1	0	8 - 3 = 5	5	1		TrialProc
7	-	5	2	1	0	7 - 5 = 2	5	1		TrialProc
9	+	5	14	1	0	9 + 5 = 14	5	1		TrialProc
4	+	6	8	0	-2	4 + 6 = 8	5	1		TrialProc
5	+	9	14	1	0	5 + 9 = 14	5	1		TrialProc
3	+	4	5	0	-2	3 + 4 = 5	5	1		TrialProc
7	-	4	2	0	-1	7 - 4 = 2	5	1		TrialProc
6	+	8	14	1	0	6 + 8 = 14	5	1		TrialProc
5	+	8	13	1	0	5 + 8 = 13	5	1		TrialProc
5	+	9	14	1	0	5 + 9 = 14	5	1		TrialProc
5	+	3	7	0	-1	5 + 3 = 7	5	1		TrialProc
7	+	9	15	0	-1	7 + 9 = 15	5	1		TrialProc
9	-	7	2	1	0	9 - 7 = 2	5	1		TrialProc
7	+	4	10	0	-1	7 + 4 = 10	5	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	5	1		TrialProc
6	-	7	-2	0	-1	6 - 7 = -2	5	1		TrialProc
4	+	7	11	1	0	4 + 7 = 11	5	1		TrialProc
2	-	7	-7	0	-2	2 - 7 = -7	5	1		TrialProc
5	-	2	2	0	-1	5 - 2 = 2	5	1		TrialProc
2	-	3	-2	0	-1	2 - 3 = -2	5	1		TrialProc
9	+	7	16	1	0	9 + 7 = 16	5	1		TrialProc
9	-	5	4	1	0	9 - 5 = 4	5	1		TrialProc
7	-	9	-4	0	-2	7 - 9 = -4	5	1		TrialProc
3	-	5	-3	0	-1	3 - 5 = -3	5	1		TrialProc
7	+	2	9	1	0	7 + 2 = 9	5	1		TrialProc
2	+	8	9	0	-1	2 + 8 = 9	5	1		TrialProc
3	-	5	-4	0	-2	3 - 5 = -4	5	1		TrialProc
5	-	2	3	1	0	5 - 2 = 3	5	1		TrialProc
3	+	6	9	1	0	3 + 6 = 9	5	1		TrialProc
3	-	3	-1	0	-1	3 - 3 = -1	5	1		TrialProc
6	-	9	-5	0	-2	6 - 9 = -5	5	1		TrialProc
6	-	2	3	0	-1	6 - 2 = 3	5	1		TrialProc
9	+	3	11	0	-1	9 + 3 = 11	5	1		TrialProc
8	-	9	-1	1	0	8 - 9 = -1	5	1		TrialProc
5	-	4	1	1	0	5 - 4 = 1	5	1		TrialProc
3	+	3	4	0	-2	3 + 3 = 4	5	1		TrialProc
2	+	2	3	0	-1	2 + 2 = 3	5	1		TrialProc
3	+	9	12	1	0	3 + 9 = 12	5	1		TrialProc
8	+	2	10	1	0	8 + 2 = 10	5	1		TrialProc
8	+	9	17	1	0	8 + 9 = 17	5	1		TrialProc
7	-	3	2	0	-2	7 - 3 = 2	5	1		TrialProc
4	-	5	-3	0	-2	4 - 5 = -3	5	1		TrialProc
9	-	3	6	1	0	9 - 3 = 6	5	1		TrialProc
3	-	4	-2	0	-1	3 - 4 = -2	5	1		TrialProc
2	+	3	5	1	0	2 + 3 = 5	5	1		TrialProc
5	-	6	-1	1	0	5 - 6 = -1	5	1		TrialProc
3	+	9	11	0	-1	3 + 9 = 11	5	1		TrialProc
3	+	9	12	1	0	3 + 9 = 12	5	1		TrialProc
9	-	5	4	1	0	9 - 5 = 4	5	1		TrialProc
5	+	2	6	0	-1	5 + 2 = 6	5	1		TrialProc
2	-	6	-6	0	-2	2 - 6 = -6	5	1		TrialProc
7	+	5	11	0	-1	7 + 5 = 11	5	1		TrialProc
3	+	8	11	1	0	3 + 8 = 11	5	1		TrialProc
5	-	7	-2	1	0	5 - 7 = -2	5	1		TrialProc
9	+	2	9	0	-2	9 + 2 = 9	5	1		TrialProc
9	-	9	0	1	0	9 - 9 = 0	5	1		TrialProc
5	-	2	3	1	0	5 - 2 = 3	5	1		TrialProc
6	-	4	0	0	-2	6 - 4 = 0	6	1		TrialProc
8	-	3	5	1	0	8 - 3 = 5	6	1		TrialProc
8	+	9	17	1	0	8 + 9 = 17	6	1		TrialProc
7	-	3	3	0	-1	7 - 3 = 3	6	1		TrialProc
5	+	6	11	1	0	5 + 6 = 11	6	1		TrialProc
4	+	2	5	0	-1	4 + 2 = 5	6	1		TrialProc
4	-	4	-1	0	-1	4 - 4 = -1	6	1		TrialProc
8	+	9	15	0	-2	8 + 9 = 15	6	1		TrialProc
4	+	7	11	1	0	4 + 7 = 11	6	1		TrialProc
4	-	5	-1	1	0	4 - 5 = -1	6	1		TrialProc
2	+	9	11	1	0	2 + 9 = 11	6	1		TrialProc
5	-	6	-1	1	0	5 - 6 = -1	6	1		TrialProc
2	-	5	-4	0	-1	2 - 5 = -4	6	1		TrialProc
9	+	5	14	1	0	9 + 5 = 14	6	1		TrialProc
4	+	7	9	0	-2	4 + 7 = 9	6	1		TrialProc
4	-	6	-2	1	0	4 - 6 = -2	6	1		TrialProc
3	+	3	5	0	-1	3 + 3 = 5	6	1		TrialProc
6	+	4	10	1	0	6 + 4 = 10	6	1		TrialProc
9	-	8	1	1	0	9 - 8 = 1	6	1		TrialProc
2	+	6	8	1	0	2 + 6 = 8	6	1		TrialProc
3	+	8	9	0	-2	3 + 8 = 9	6	1		TrialProc
6	-	5	1	1	0	6 - 5 = 1	6	1		TrialProc
8	-	5	3	1	0	8 - 5 = 3	6	1		TrialProc
8	-	9	-1	1	0	8 - 9 = -1	6	1		TrialProc
2	+	7	7	0	-2	2 + 7 = 7	6	1		TrialProc
6	-	9	-3	1	0	6 - 9 = -3	6	1		TrialProc
4	+	6	10	1	0	4 + 6 = 10	6	1		TrialProc
6	+	5	9	0	-2	6 + 5 = 9	6	1		TrialProc
3	-	5	-3	0	-1	3 - 5 = -3	6	1		TrialProc
4	-	3	0	0	-1	4 - 3 = 0	6	1		TrialProc
4	-	9	-5	1	0	4 - 9 = -5	6	1		TrialProc
6	-	3	2	0	-1	6 - 3 = 2	6	1		TrialProc
2	-	9	-8	0	-1	2 - 9 = -8	6	1		TrialProc
4	+	3	7	1	0	4 + 3 = 7	6	1		TrialProc
8	-	6	1	0	-1	8 - 6 = 1	6	1		TrialProc
9	+	3	12	1	0	9 + 3 = 12	6	1		TrialProc
8	+	4	10	0	-2	8 + 4 = 10	6	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	6	1		TrialProc
3	-	3	-2	0	-2	3 - 3 = -2	6	1		TrialProc
3	-	9	-7	0	-1	3 - 9 = -7	6	1		TrialProc
4	-	3	0	0	-1	4 - 3 = 0	6	1		TrialProc
5	-	4	-1	0	-2	5 - 4 = -1	6	1		TrialProc
8	+	7	14	0	-1	8 + 7 = 14	6	1		TrialProc
9	-	2	7	1	0	9 - 2 = 7	6	1		TrialProc
6	+	3	8	0	-1	6 + 3 = 8	6	1		TrialProc
5	-	5	0	1	0	5 - 5 = 0	6	1		TrialProc
3	+	9	12	1	0	3 + 9 = 12	6	1		TrialProc
2	+	6	7	0	-1	2 + 6 = 7	6	1		TrialProc
9	+	8	15	0	-2	9 + 8 = 15	6	1		TrialProc
8	+	7	15	1	0	8 + 7 = 15	6	1		TrialProc
8	+	6	14	1	0	8 + 6 = 14	6	1		TrialProc
7	+	5	11	0	-1	7 + 5 = 11	6	1		TrialProc
8	+	9	17	1	0	8 + 9 = 17	6	1		TrialProc
2	+	5	7	1	0	2 + 5 = 7	6	1		TrialProc
3	-	9	-8	0	-2	3 - 9 = -8	6	1		TrialProc
9	-	8	1	1	0	9 - 8 = 1	6	1		TrialProc
7	+	5	11	0	-1	7 + 5 = 11	6	1		TrialProc
2	-	3	-3	0	-2	2 - 3 = -3	6	1		TrialProc
2	-	9	-7	1	0	2 - 9 = -7	6	1		TrialProc
8	+	3	10	0	-1	8 + 3 = 10	6	1		TrialProc
2	+	7	9	1	0	2 + 7 = 9	7	1		TrialProc
6	-	6	-1	0	-1	6 - 6 = -1	7	1		TrialProc
9	-	6	3	1	0	9 - 6 = 3	7	1		TrialProc
6	+	3	9	1	0	6 + 3 = 9	7	1		TrialProc
3	-	6	-4	0	-1	3 - 6 = -4	7	1		TrialProc
